,1,Article,Keyword,Sentence
32,,test_pdfs/The School Shootings of 2018_ What's Behind the Numbers - Education Week.pdf,gun,We do not track incidentxeex80x84 in which the onlxeex80x86 xeex80x84hotxeex80x84 fired were from a perxeex80x84on authorized to carrxeex80x86 a gun and who did xeex80x84o in their official capacitxeex80x86.
33,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,correlat,"However, the correlation between these three dimensions certainly is not perfect, and ."
34,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,correlat,"Indeed, it is just such harm perpetrated by the structurally powerful in schools that is correlated with high levels of incidence of violence by students."
35,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,"For example, gender discrimination has been shown to create harmful effects on female students learning experience."
36,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,"When teachers favor male students over females, because of their seemingly extroverted classroom participation, they disadvantage females and oppress their potential development, which can lead to feelings of inadequacy, anger, and long-term depression."
37,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,"This has much to do with the influence of class, race and gender: Structurally oppressed and ecologically insulated, alienated minority male youth focus their anger and frustration on each other in their neighborhoods."
38,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,"White males, in contrast, who have historically come to expect a relatively privileged life, but who are also socialized to ""do their gender"" through individual acts of violence."
39,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,"Finally, female alienated youth, through both socialization and control internalize their anger on themselves."
40,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,The argument is that cultural violence amplifies young male aggressive tendencies.
41,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,male,Similar exclusionary practices have recently been argued to be contributing to male violence in schools (See Pollack 1998; Yogan and Henry 1999).
42,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"Such practices are not defined as violence but they are symbolically violent with long-term harmful consequences.2 Similarly, consider the impact of the ""sensitive"" teacher who, when issues of race and ethnicity arise in classroom discussion, calls on the one or two minorities in a class to speak for ""blacks"" or ""Hispanics,"" as if these students are somehow ambassadors for a whole race or ethnic group."
43,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"Without a conception of the social hierarchy of power relationships and dimensions of class, race, and gender, an understanding of the dimension of seriousness is difficult to establish."
44,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"(Garbarino 1999, 3) Garbarino argues that this difference in the way we respond to youth violence is structured by race and class."
45,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"Issues of race, class and gender affect not only how we react to the extensiveness of social problems, such as school violence, but how selective we are with regard to the severity of our response."
46,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"Finally, it is worth considering that the differential disciplinary response to student misconduct (likely to be perceived as unfair) which is harmful in itself, is also structured according to the inequalities of class, race and gender."
47,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"This has much to do with the influence of class, race and gender: Structurally oppressed and ecologically insulated, alienated minority male youth focus their anger and frustration on each other in their neighborhoods."
48,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,"Rather than operating simply on the individual or micro-level of analysis which looks to psychological and situational explanations for why students act violently, we need to address the context of students lives; their families, race, ethnicity, gender, and social class."
49,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,race,New York: Harcourt Brace and Jovanovich.
50,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,ethn,"Such practices are not defined as violence but they are symbolically violent with long-term harmful consequences.2 Similarly, consider the impact of the ""sensitive"" teacher who, when issues of race and ethnicity arise in classroom discussion, calls on the one or two minorities in a class to speak for ""blacks"" or ""Hispanics,"" as if these students are somehow ambassadors for a whole race or ethnic group."
51,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,ethn,"Rather than operating simply on the individual or micro-level of analysis which looks to psychological and situational explanations for why students act violently, we need to address the context of students lives; their families, race, ethnicity, gender, and social class."
52,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,female,"For example, gender discrimination has been shown to create harmful effects on female students learning experience."
53,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,female,"When teachers favor male students over females, because of their seemingly extroverted classroom participation, they disadvantage females and oppress their potential development, which can lead to feelings of inadequacy, anger, and long-term depression."
54,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,female,"Finally, female alienated youth, through both socialization and control internalize their anger on themselves."
55,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"What this does not consider is how far these acts are also related to the type of school organization, the social processes that are encouraged within the schools, and the forms of abuse and violence to which we subject our youth under the auspices of education."
56,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"Schools help contribute to criminality when they label problem youths, setting them apart from conventional society."
57,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"(Garbarino 1999, 3) Garbarino argues that this difference in the way we respond to youth violence is structured by race and class."
58,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"Chambliss (1973) in his study of ""the saints"" and ""the roughnecks"" showed that while youth from different class backgrounds commit similar kinds of crimes, the consequences for those of lower class backgrounds (roughnecks) are far more severe than for their middle-class counterparts (saints)."
59,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"For example, Kramer (in this volume) distinguishes between three types of student violence: (1) predatory economic crimes, which involves the pursuit of material goals by any means, including violence, (2) drug industry crimes, which involve violent gang turf wars, and (3) social relationship violence from powerless angry youths who use acts of violence to resolve issues of humiliation from their alienation (See articles in this volume by Staples and Cintron)."
60,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"This has much to do with the influence of class, race and gender: Structurally oppressed and ecologically insulated, alienated minority male youth focus their anger and frustration on each other in their neighborhoods."
61,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"Finally, female alienated youth, through both socialization and control internalize their anger on themselves."
62,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"It devalues humans into symbolic object images of hate or derision, trains youth to use violent skills, celebrates death and destruction as positive values, and provides exciting and colorful role models, who use violence as the solution to problems, glorifying the most powerful and destructive performances via news media infotainment."
63,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,youth,"In 1996 10,000 juvenile court cases were waived to criminal court compared with 6,800 in 1987 and 15% of those involved youth under 16 years old, compared with 7% in 1987 (Office of Justice Programs, 1999, 1) 6."
64,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,weapon,"At best this narrow definition includes intimidation by the threat of force as in the Justice Departments definition of ""violent victimization"" which includes ""physical attacks or taking property from the student directly by force, weapons, or threats"" (Bureau of Justice, 1998b)."
65,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,weapon,"He argues that rule breaking varies from minor deviance from accepted standards of behavior, such as strange dress or appearance, skipping class, cheating on homework, to highly offensive acts that involve serious harm, such as physical violence using weapons, or school yard massacres."
66,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,adolescent,"Indeed, as Garbarino (1999) says when the perpetrators of lethal school violence are middle-class, white teenagers from small towns or suburbs, their crimes make national and international news, but, Most of us never heard about the adolescents who shot and killed other kids in the inner city neighborhoods of Houston, Chicago, New York, Los Angeles and Detroit."
67,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,gun,"Yet, like airline crashes, any analysis of school violence that simply looks at one factor, such as human fallibility, gun availability or cultural toxicity, is in grave danger of missing the point, and risks failing to prevent future disasters."
68,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,gun,"For instance, student reports of drug availability, street gang presence, and gun presence at school were all related to student reports of having experienced violent victimization at school (Bureau of Justice 1998b, 1)."
69,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,gun,Level 4 Violence: State and national educational policy on-school; state and national juvenile justice policy onstudent; media and popular culture on student and on administrator; corporate exploitation on students; national and state policies on guns and drugs.
70,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf,gun,"Discussion of cultural causes of school violence has focused on the role of violence in the media B in movies, in videos, video games, and on the internet B and on gun culture."
71,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"It fails to address the wider context of school violence, the wider forms of violence in schools, and the important interactive and causal effects arising from the confluence of these forces."
72,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"What is demanded is an integrated, multi-level definition of the problem that will lead to a multi-level causal analysis and a comprehensive policy response, that takes account of the full range of constitutive elements."
73,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"(Garbarino 1999, 13) It is standard wisdom in the airline industry that crashes are rarely the result of a single cause."
74,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"Moreover, while each of several causes plays a part in producing and shaping an event, analyzed independently we lose the importance of their interactive and cumulative effects."
75,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"For example, contributors to a recent major work on violence in schools agreed on the following definition: ""Violence refers to the threat or use of physical force with the intention of causing physical injury, damage, or intimidation of another person"" (Elliott, Hamburg, and Williams 1998: 13)."
76,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"(Siegel 1998, 197-98) And this does not even begin to address how competitive success corrupts the morality of the successful, driving them to win at all costs, regardless of the harm they cause to others in the process (See Nicholsons article in this volume)."
77,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,TOWARD AN EXPANSIVE INTEGRATED DEFINITION Because of the omission of these broader dimensions of school violence we are missing much of the content and causes of violence in schools.
78,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,Hagans first dimension is the relative seriousness of crime based on the harm it has caused.
79,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"Second, it allows us to identify the multiple and interrelated causes of such violence."
80,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"CONCLUSION In light of the discussion and analysis of this article an expansive integrated definition allows us to reframe our analysis of types of school violence, causes and policy."
81,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"They act collectively through gangs and justify their victimization of others in relation to harms caused to themselves, either historically, institutionally or interpersonally."
82,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,Causes of school violence The definitional framework outlined above suggests that we need to take a much broader approach to examining the causes of school violence.
83,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"Discussion of cultural causes of school violence has focused on the role of violence in the media B in movies, in videos, video games, and on the internet B and on gun culture."
84,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"Policy Responses Finally, an adequate policy response must be comprehensive, dealing simultaneously with each of the causes identified at each of the levels of definition."
85,,test_pdfs/WhatisSchoolViolenceHenryPre-publicationdraftANNALSv5672000pp.16-29.pdf, caus,"In contrast, an expansive definition and an integrated causal analysis would tie the use of violence by students to the use of symbolic and other forms of violence by adults, whether these are parents, teachers, administrators, or politicians."
86,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"bUnderstanding School Violence Fact Shee School violence is youth violence that occurs on school property, on the way to or from school or school-sponsored events, or during a schoolsponsored event."
87,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"To learn more about school violence and youth violence, please visit: www.cdc.gov/violenceprevention ."
88,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"31 homicides of school-age youth, ages 5 to 18 years, occurred at school during the 2012-2013 school year."
89,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"Of all youth homicides, less than 2.6% occur at school, and this percentage has been relatively stable for the past decade."
90,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"In 2014, there were about 486,400 nonfatal violent victimizations at school among students 12 to 18 years of age.1 Approximately 9% of teachers report that they have been threatened with injury by a student from their school; 5% of school teachers reported that they had been physically attacked by a student from their school.1 In 2013, 12% of students ages 12-18 reported that gangs were present at their school during the school year.1 National Center for Injury Prevention and Control Division of Violence Prevention 2016 In a 2015 nationally representative sample of youth in grades 9-12:2 ."
91,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"Exposure to youth violence and school violence can lead to a wide array of negative health behaviors and outcomes, including alcohol and drug use and suicide."
92,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,CDC uses a four-step approach to address public health problems like school violence: A number of factors can increase the risk of a youth engaging in violence at school.
93,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,Risk factors for school and youth violence include: .
94,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"To learn more, go to www.cdc.gov/violenceprevention/ youthviolence/schoolviolence/risk.html."
95,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"The YRBSS monitors health-risk behaviors among youth, including physical fighting, bullying, weapon carrying, and suicide."
96,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,Data are collected every two years and provide nationally representative information about youth in grades 9-12. www.cdc.gov/healthyyouth/data/yrbs/index.htm .
97,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"Street outreach programs can significantly reduce youth violence.4 These programs connect trained staff with at-risk youth to conduct conflict mediation, make service referrals, and change beliefs about the acceptability of violence."
98,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,www.cdc.gov/ViolencePrevention/youthviolence/ schoolviolence/SAVD.html .
99,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,www.cdc.gov/healthyyouth/shpps .
100,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,www.cdc.gov/healthyyouth/hecat/ .
101,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"Through collaborations between researchers and local organizations (including the local health department), the YVPCs work with high-risk communities to carry out and evaluate a multifaceted, science-based approach for reducing youth violence."
102,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"Examination of youth violence prevention strategies have included firearm laws, therapeutic foster care, universal school-based violence prevention programs, and transfer of juveniles to adult courts."
103,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"CDCs national STRYVE initiative provides information, training, and tools to help increase public health leadership in preventing youth violence, promote the widespread use of evidence-based prevention strategies, and reduce national rates of youth violence."
104,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,"www.cdc.gov/violenceprevention/stryve/ For more information about CDCs role in preventing youth violence, see www.cdc.gov/violenceprevention/ youthviolence/index.html."
105,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,CDC Division of Violence Prevention www.cdc.gov/violenceprevention CDC Division of Adolescent and School Health www.cdc.gov/healthyyouth/ STRYVE www.cdc.gov/violenceprevention/stryve/ Stop Bullying www.stopbullying.gov Surgeon Generals Report on Youth Violence http://www.ncbi.nlm.nih.gov/books/NBK44294/ References 1.
106,,test_pdfs/school_violence_fact_sheet-a.pdf,youth,Available from http:// www.cdc.gov/violenceprevention/youthviolence/opportunities-foraction.html.
107,,test_pdfs/school_violence_fact_sheet-a.pdf,weapon,"Other forms of violence, such as gang violence and assault (with or without weapons), can lead to serious injury or even death."
108,,test_pdfs/school_violence_fact_sheet-a.pdf,weapon,"4.1% reported carrying a weapon (gun, knife or club) on school property on one or more days in the 30 days before the survey."
109,,test_pdfs/school_violence_fact_sheet-a.pdf,weapon,6.0% reported being threatened or injured with a weapon on school property one or more times in the 12 months before the survey.
110,,test_pdfs/school_violence_fact_sheet-a.pdf,weapon,"The YRBSS monitors health-risk behaviors among youth, including physical fighting, bullying, weapon carrying, and suicide."
111,,test_pdfs/school_violence_fact_sheet-a.pdf,gun,"4.1% reported carrying a weapon (gun, knife or club) on school property on one or more days in the 30 days before the survey."
112,,test_pdfs/school_violence_fact_sheet-a.pdf,gun,"Other injuries, like gunshot wounds and head trauma, are more serious and can lead to permanent disability."
113,,test_pdfs/school_violence_fact_sheet-a.pdf,knife,"4.1% reported carrying a weapon (gun, knife or club) on school property on one or more days in the 30 days before the survey."
114,,test_pdfs/school_violence_fact_sheet-a.pdf, caus,"Some violent acts-such as bullying, pushing, and shoving-can cause more emotional harm than physical harm."
115,,test_pdfs/EU SCHOOL VIOLENCER.pdf,race,"In other countries, vulnerable students have been issued with alarm bracelets, which can be activated if threatened or attacked (e.g."
116,,test_pdfs/EU SCHOOL VIOLENCER.pdf,ethn,"population, major regional areas, major languages, major ethnic groups and minorities); school system (i.e."
117,,test_pdfs/EU SCHOOL VIOLENCER.pdf,ethn,"student-student, student-teacher, teacherstudent), age trends and gender differences; effects of factors such as ethnicity, socioeconomic status and special needs; and information relating to variations by school type and school ethos."
118,,test_pdfs/EU SCHOOL VIOLENCER.pdf,ethn,"Many reports discussed the inxefxacx82uence on school violence of factors such as the region of the country and socio-economic circumstances; the type of school; and student characteristics such as age, sex, ethnicity, social class, family background and special educational needs."
119,,test_pdfs/EU SCHOOL VIOLENCER.pdf,ethn,"(1994), Co-operative Group Work in the Multi-ethnic Classroom, David Fulton, London."
120,,test_pdfs/EU SCHOOL VIOLENCER.pdf,weapon,"The initial dexefxacx81nition proposed in this study was that used by Olweus (1999), who dexefxacx81ned ""violence"" or ""violent behaviour"" as ""aggressive behaviour where the actor or perpetrator uses his or her own body or an object (including a weapon) to inxefxacx82ict (relatively serious) injury or discomfort upon another individual""."
121,,test_pdfs/EU SCHOOL VIOLENCER.pdf,weapon,"Safe Schools Programme in Portugal); and general school security has been strengthened regarding weapons and unauthorised entry, often using video surveillance."
122,,test_pdfs/EU SCHOOL VIOLENCER.pdf, caus,"Greece, Iceland, Ireland and Italy); accidents caused by violence (e.g."
123,,test_pdfs/NCJRS.bib.pdf,correlat,"2013-IJ-CX-0029: Grantee: Amount: Status: Familial Pathways to Polyvictimization for Sexual Minority Youth: Homonegative, Dangerous, and Adverse Family Typologies The Regents of the University of California $456,606 Ongoing The purpose of this basic research project is to address the following aims with sexual minority youth: (1) identify the lifetime prevalence, past year incidence, and correlates of polyvictimization, (2) explore and establish a conceptual model of family typologies (homonegative, dangerous, and adverse) and (mediating factors internalizing problems, peer rejection) that lead to polyvictimization, and (3) inform the design of future research, policies, and practices to prevent polyvictimization."
124,,test_pdfs/NCJRS.bib.pdf,correlat,"Grounded theory analysis will be used to interpret the qualitative data and psychometric analyses, including correlation, factor analysis, regression and structural equation modeling will be used to validate the questionnaire and identify the most important protective factors."
